Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Italy,ITA,Rule of Law: Estimate,RL.EST,0.3291599
Jamaica,JAM,Rule of Law: Estimate,RL.EST,-0.2032704
Japan,JPN,Rule of Law: Estimate,RL.EST,1.420992
"Jersey, Channel Islands",JEY,Rule of Law: Estimate,RL.EST,1.7236
Jordan,JOR,Rule of Law: Estimate,RL.EST,0.3043001
Kazakhstan,KAZ,Rule of Law: Estimate,RL.EST,-0.4350889
Kenya,KEN,Rule of Law: Estimate,RL.EST,-0.4405517
Kiribati,KIR,Rule of Law: Estimate,RL.EST,0.2363544
"Korea, Dem. People’s Rep.",PRK,Rule of Law: Estimate,RL.EST,-1.669577
"Korea, Rep.",KOR,Rule of Law: Estimate,RL.EST,1.160836
Kosovo,XKX,Rule of Law: Estimate,RL.EST,-0.3501767
Kuwait,KWT,Rule of Law: Estimate,RL.EST,0.0279303
Kyrgyz Republic,KGZ,Rule of Law: Estimate,RL.EST,-1.022858
Lao PDR,LAO,Rule of Law: Estimate,RL.EST,-0.7958245
Latvia,LVA,Rule of Law: Estimate,RL.EST,0.9589826
Lebanon,LBN,Rule of Law: Estimate,RL.EST,-0.8304968
Lesotho,LSO,Rule of Law: Estimate,RL.EST,-0.1682908
Liberia,LBR,Rule of Law: Estimate,RL.EST,-0.9451594
Libya,LBY,Rule of Law: Estimate,RL.EST,-1.816694
Liechtenstein,LIE,Rule of Law: Estimate,RL.EST,1.688664
Lithuania,LTU,Rule of Law: Estimate,RL.EST,1.029358
Luxembourg,LUX,Rule of Law: Estimate,RL.EST,1.760356
"Macao SAR, China",MAC,Rule of Law: Estimate,RL.EST,0.8557392
Madagascar,MDG,Rule of Law: Estimate,RL.EST,-0.8134044
Malawi,MWI,Rule of Law: Estimate,RL.EST,-0.375331
Malaysia,MYS,Rule of Law: Estimate,RL.EST,0.4991495
Maldives,MDV,Rule of Law: Estimate,RL.EST,-0.4075964
Mali,MLI,Rule of Law: Estimate,RL.EST,-0.7821617
Malta,MLT,Rule of Law: Estimate,RL.EST,0.9977589
Marshall Islands,MHL,Rule of Law: Estimate,RL.EST,-0.0981705
Martinique,MTQ,Rule of Law: Estimate,RL.EST,0.8654205
Mauritania,MRT,Rule of Law: Estimate,RL.EST,-0.7264318
Mauritius,MUS,Rule of Law: Estimate,RL.EST,0.7516719
Mexico,MEX,Rule of Law: Estimate,RL.EST,-0.5562108
"Micronesia, Fed. Sts.",FSM,Rule of Law: Estimate,RL.EST,-0.0507728
Moldova,MDA,Rule of Law: Estimate,RL.EST,-0.4949887
